100 0.000104
600 0.002798
1100 0.003152
1600 0.006745
2100 0.010765
2600 0.015465
3100 0.021175
3600 0.026899
4100 0.033589
4600 0.043543
5100 0.056031
5600 0.06719
6100 0.086005
6600 0.095699
7100 0.114615
7600 0.133336
8100 0.151963
8600 0.173952
9100 0.195179
9600 0.221302
10100 0.25463
10600 0.28147
11100 0.31048
11600 0.340282
12100 0.36863
12600 0.407973
13100 0.419
13600 0.466305
14100 0.509526
14600 0.559048
15100 0.593448
15600 0.647636
16100 0.664248
16600 0.69386
17100 0.747659
17600 0.785306
18100 0.841764
18600 0.885234
19100 0.931568
19600 0.975513
20100 1.0544
20600 1.11767
21100 1.13444
21600 1.19716
22100 1.25076
22600 1.31102
23100 1.40375
23600 1.44986
24100 1.54005
24600 1.57354
25100 1.62419
25600 1.70393
26100 1.78096
26600 1.83571
27100 1.89933
27600 2.00914
28100 2.06953
28600 2.11936
29100 2.20683
29600 2.31348
